Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC
2015-11-05,75.56583640205797,50.811416280613415,68.26602217556008,34.8614410892564,24.309840753567364,10.551600335689038,-49.188583719386585,164.2242694746671,35.42026653944769,400.92584435534343,216.5745584766878,59.70887955154962,0.9209561225480957,26.474935644202088,0.6535766625337633,1036825172,68389209.6,372.84542555311936
2015-11-06,70.11523983245053,44.72148800524039,52.97345903686058,34.65398766229464,26.37867013531282,8.27531752698182,-55.27851199475961,100.44839365253041,27.462663001222104,408.60892654291763,219.2744749463402,60.30879336752675,0.8196898396761109,27.570369143807074,0.676218447456879,914138172,72363579.6,164.80084952451665
2015-11-07,72.29083929839118,49.277376588375134,48.270093624743,35.054757384135144,28.113887585077286,6.940869799057857,-50.722623411624866,100.28635735067547,26.87430817304788,416.67937056735593,223.68792984768314,60.27523285295483,0.8435299730089456,26.897698820616615,0.651413323544524,970763272,74073119.6,11.44896187812574
2015-11-08,66.59116545876827,43.17932447298244,45.726063022199334,33.92313663099924,29.27573739426168,4.647399236737559,-56.82067552701756,79.97453837313074,18.96194051554388,421.1383316531048,230.22206873752026,58.62077670091421,0.7497839133818709,26.49036153390404,0.6780766764332499,918945672,75401059.6,-19.65752861809821
2015-11-09,68.01769666050036,45.237319467075125,45.89800684281092,33.199498750046246,30.060489665418594,3.139009084627652,-54.762680532924875,68.6254636666364,15.926701993488146,425.84099886107265,236.5987991125602,57.13491258447757,0.75912343866083,26.196980433128523,0.6778120739098927,987170072,77267789.6,-12.873507438860866
2015-11-10,52.72903630255731,21.359461523715417,36.59203515459101,28.78906546190592,29.806204824716062,-1.0171393628101413,-78.64053847628459,22.129696013083997,7.210524439484773,424.55820533411725,244.93629234654682,53.65896616322801,0.5115339569062042,28.059981237849254,0.8335083655884736,891372168,80775819.8,97.1227352509666
2015-11-11,46.11550537074436,5.184388501869499,23.927056497553366,22.952583963529946,28.43548065247884,-5.482896688948895,-94.81561149813051,-33.35289003314709,-4.4086103886982055,422.779042527211,250.42155561732022,51.20538733475305,0.3519572045452977,28.88340987641248,0.8908235616550388,784302168,84238889.8,189.369775493161
2015-11-12,52.81854383576661,19.09644505079283,15.213431692125935,20.27754425038529,26.80389337206013,-6.526349121674841,-80.90355494920716,-14.437351665604188,-6.378097782752666,421.33319092963364,258.03300780083515,48.07427376691906,0.49062406863692143,29.248664796651987,0.9319976323844532,862779968,86690654.8,-22.999077689907576
2015-11-13,52.45534091514076,18.37739624117678,14.219409931279722,17.83902976757082,25.01092065116227,-7.171890883591448,-81.62260375882322,-16.119777708940088,-16.524837266611637,419.66900227938334,265.20709635342916,45.10652546768665,0.46319442933408256,28.219402258163452,0.9327478693126465,810776968,87993684.8,-74.77566185815039
2015-11-14,51.40850184876962,16.400172786285513,17.958004692751725,15.418336952710035,23.092403911471823,-7.674066958761788,-83.59982721371449,-23.810768117910353,-19.11177259897898,417.4807402783821,272.3179596727898,42.088447141424815,0.41738003318635164,26.790230563662938,0.9355631735725,772164968,87638429.8,-85.36870026525199
2015-11-15,47.99264813922375,9.852221925600885,14.876596984354412,12.329777257689443,20.939878580715348,-8.610101323025905,-90.14777807439911,-50.241339487072516,-17.131443735442392,414.9641904681483,278.3211092144689,39.41900435974453,0.3062348675764089,26.10321388556648,0.9503719432839914,727951868,88243644.8,-70.87890510147368
2015-11-16,50.91110883718145,15.292574424680959,13.848323045522472,10.613844465874479,18.874671757747176,-8.260827291872697,-84.70742557531904,-52.286102891923385,-11.67489892330738,412.879900576898,284.10170037525046,36.95311326029936,0.36224536941642116,25.361627772367534,0.9514943454625808,775931968,88326059.8,-60.892270574714516
2015-11-17,52.09883584416334,17.524726664832563,14.223174338371487,9.494946295169882,16.998726665231718,-7.503780370061836,-82.47527333516743,-38.87940587539944,-13.296350464559978,411.55807138050443,288.4711278382456,35.16623125996085,0.37877994985205404,24.17408239088704,0.9452522155411137,826933568,88335734.8,-9.931108289433489
2015-11-18,51.94177245452096,22.920354332405573,18.57921847397305,8.469907205138554,15.292962773213086,-6.8230555680745315,-77.07964566759442,-43.82274114681163,-10.386003606352286,410.7956375479838,291.3070602059224,34.0373502977034,0.36223492734423995,22.86814730660493,0.9407504993467587,783149768,87300129.8,-15.50399864138825
2015-11-19,49.26310290758472,26.520714461315887,22.321931819518028,6.896933857045326,13.613756989979535,-6.716823132934209,-73.47928553868411,-56.714546112896365,-14.229324730838302,410.85158800943555,291.0645069612676,34.13145300598005,0.292890348008653,21.953351401752567,0.933025183659938,738138668,85635434.8,-34.02492363435955
2015-11-20,47.96080051323971,23.46827893769425,24.30311591047192,5.256731725575207,11.942351937098671,-6.685620211523464,-76.53172106230575,-78.3264221546344,-4.393159845373037,410.37073306821765,292.3309637091261,33.59598244900591,0.25153420432717244,21.40353926200685,0.9206642810285042,684985768,85863174.8,-44.515591906896
