,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2008-03-06,2,Bear,2.0803207132558344e-11,1.3215377449458176e-09,0.9999999986575858
2008-03-07,2,Bear,1.721079928822684e-10,9.766495627450575e-09,0.9999999900610419
2008-03-10,2,Bear,1.5171020049987857e-12,9.730031319468378e-11,0.9999999999017746
2008-03-11,2,Bear,1.214026391763387e-09,5.594726463796822e-08,0.9999999428382597
2008-03-12,2,Bear,3.785703261165977e-10,1.9967389032267695e-08,0.9999999796546037
2008-03-13,2,Bear,6.429691899488247e-11,2.763576341887128e-09,0.9999999971714715
2008-03-14,2,Bear,6.365374358913883e-14,3.2512155054094556e-12,0.999999999996362
2008-03-17,2,Bear,2.123847517364505e-15,9.895781302568273e-14,1.0
2008-03-18,2,Bear,1.1169696273931208e-09,4.762907047073266e-08,0.9999999512547232
2008-03-19,2,Bear,1.7534258247958677e-12,8.979134001763877e-11,0.9999999999090505
2008-03-20,2,Bear,1.7324913284621338e-10,7.27117114554278e-09,0.9999999925548764
2008-03-21,2,Bear,3.1649208535101986e-12,1.1089754223031825e-10,0.9999999998854037
2008-03-24,2,Bear,1.2877079800306286e-14,3.564873194764396e-13,1.0
2008-03-25,2,Bear,3.6823867463495036e-10,1.464917031600422e-08,0.9999999849824236
2008-03-26,2,Bear,8.529800370247362e-12,2.6888789798969297e-10,0.9999999997216946
2008-03-27,2,Bear,2.8910521019332097e-09,1.1064031418111297e-07,0.9999998864677828
2008-03-28,2,Bear,5.392468034132754e-09,2.115471115744884e-07,0.9999997830600713
2008-03-31,2,Bear,1.831343332857114e-08,2.4715233027627247e-07,0.9999997345349027
2008-04-01,2,Bear,9.915646223334879e-08,2.9418024585651317e-06,0.9999969590417858
2008-04-02,2,Bear,1.0406087007085342e-08,4.074472160955421e-07,0.9999995821472984
2008-04-03,2,Bear,1.2276056636964309e-09,4.312540267575552e-08,0.9999999556475824
2008-04-04,2,Bear,4.888047014105342e-10,1.562626778996586e-08,0.999999983885573
2008-04-07,2,Bear,2.248106796455334e-08,4.84075713747344e-08,0.9999999291121665
2008-04-08,2,Bear,3.988189949862179e-06,1.607150816689441e-05,0.9999799403023826
2008-04-09,2,Bear,6.4510362371631654e-06,1.4409780760850419e-05,0.99997913918309
2008-04-10,2,Bear,2.171021757019618e-06,3.195220857175462e-05,0.9999658767702816
2008-04-11,2,Bear,1.276245838119277e-07,4.150576761695834e-06,0.999995721798825
2008-04-14,2,Bear,2.904194452207443e-07,1.2226201238709625e-06,0.9999984869603018
2008-04-15,2,Bear,9.409090631139835e-06,1.3266156052676975e-05,0.9999773247533725
2008-04-16,2,Bear,0.00013007186167027817,7.071807774940737e-05,0.9997992100609303
