phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P5.1,baseline,eth,flat,xgboost,defensive,0.1499749080060556,-0.0626409992176918,-0.5494400825978365,206,0.5242718446601942
P5.1,baseline,eth,flat,xgboost,prob_weighted,0.4181866868833661,0.2144948085792832,-0.2053042855704853,215,0.5116279069767442
P5.1,baseline,eth,flat,lightgbm,stateful,0.3033848230903243,0.209270690102685,-0.5723578446050718,131,0.5343511450381679
P5.1,baseline,eth,flat,lightgbm,defensive,0.1545635710856832,-0.0562229775595403,-0.5623804308714697,189,0.5396825396825397
P5.1,baseline,eth,flat,lightgbm,prob_weighted,0.5223962929197133,0.2572675224320111,-0.1819782268974483,192,0.5520833333333334
P5.1,baseline,eth,flat,random_forest,stateful,0.3569187133368517,0.3369272094782531,-0.5694419431988031,104,0.4903846153846153
P5.1,baseline,eth,flat,random_forest,defensive,0.1154620588426357,-0.1294421571435174,-0.5826972588817377,137,0.5109489051094891
P5.1,baseline,eth,flat,random_forest,prob_weighted,0.2826436722561486,0.0923419382173418,-0.1530915224883078,139,0.4964028776978417
P5.1,baseline,eth,flat,mlp,stateful,0.4615423941953488,0.6595775765331378,-0.5253167863342862,84,0.4404761904761904
P5.1,baseline,eth,flat,mlp,defensive,0.4615423941953488,0.6595775765331378,-0.5253167863342862,84,0.4404761904761904
P5.1,baseline,eth,flat,mlp,prob_weighted,0.4205472413158189,0.2701901556277641,-0.1975966291535095,84,0.4523809523809524
P5.1,baseline,eth,2stage_trend,xgboost,stateful,0.2404870013925058,0.0491970778786836,-0.6025705922161992,94,0.574468085106383
P5.1,baseline,eth,2stage_trend,xgboost,defensive,0.3872048505214163,0.4324791425137437,-0.548877670497288,135,0.5777777777777777
P5.1,baseline,eth,2stage_trend,xgboost,prob_weighted,0.3745050713966769,0.1619908164389167,-0.2063138504617344,125,0.616
P5.1,baseline,eth,2stage_trend,lightgbm,stateful,0.0818883825151319,-0.260022202861168,-0.7022911947673214,109,0.4770642201834862
P5.1,baseline,eth,2stage_trend,lightgbm,defensive,0.2102717282308186,0.0116577112575453,-0.6261513856378369,155,0.4709677419354838
P5.1,baseline,eth,2stage_trend,lightgbm,prob_weighted,0.2874059814017319,0.1561030071062894,-0.2251328831432884,133,0.4812030075187969
P5.1,baseline,eth,2stage_trend,random_forest,stateful,0.0513300776974956,-0.3139095226164448,-0.7554341768865336,101,0.504950495049505
P5.1,baseline,eth,2stage_trend,random_forest,defensive,0.0636390843582906,-0.2459838683266927,-0.6977540203972861,137,0.4744525547445255
P5.1,baseline,eth,2stage_trend,random_forest,prob_weighted,0.2531610485254741,0.0824742156816815,-0.1626059653512036,121,0.512396694214876
P5.1,baseline,eth,2stage_trend,mlp,stateful,0.3097449332935831,0.2127272320280062,-0.5494660720471022,134,0.5298507462686567
P5.1,baseline,eth,2stage_trend,mlp,defensive,0.2125660545253494,0.0091167596831667,-0.5364428963547136,165,0.5515151515151515
P5.1,baseline,eth,2stage_trend,mlp,prob_weighted,0.3235209785790566,0.2864846678011206,-0.4573424330908237,158,0.5506329113924051
P5.1,baseline,eth,2stage_macro,xgboost,stateful,0.1258792901252508,-0.1669735594535533,-0.5876959636407519,129,0.5348837209302325
P5.1,baseline,eth,2stage_macro,xgboost,defensive,0.1650940674085854,-0.0700539852405323,-0.6080567935454152,181,0.5524861878453039
P5.1,baseline,eth,2stage_macro,xgboost,prob_weighted,0.1400695400108208,0.0410804642904782,-0.3139235304912076,163,0.558282208588957
P5.1,baseline,eth,2stage_macro,lightgbm,stateful,0.0593173893449424,-0.2835592255164135,-0.6593192713127953,123,0.5447154471544715
P5.1,baseline,eth,2stage_macro,lightgbm,defensive,0.0265262057730221,-0.2876450665451939,-0.6822085744508075,174,0.5402298850574713
P5.1,baseline,eth,2stage_macro,lightgbm,prob_weighted,0.3088877029110944,0.1460092242042583,-0.1651386049500096,164,0.5853658536585366
P5.1,baseline,eth,2stage_macro,random_forest,stateful,0.4105750756543094,0.4933236198422526,-0.597489390975507,102,0.6078431372549019
P5.1,baseline,eth,2stage_macro,random_forest,defensive,0.2649867309128332,0.1399574446330336,-0.6152084471374428,139,0.5827338129496403
P5.1,baseline,eth,2stage_macro,random_forest,prob_weighted,-0.0381260868794883,-0.0343114251093459,-0.1774241591894338,119,0.6722689075630253
P5.1,baseline,eth,2stage_macro,mlp,stateful,0.4724081350952956,0.6929379136841083,-0.5051159728418166,106,0.5471698113207547
P5.1,baseline,eth,2stage_macro,mlp,defensive,0.255093298622601,0.1168358191435194,-0.6176471219228135,127,0.5354330708661418
P5.1,baseline,eth,2stage_macro,mlp,prob_weighted,0.3620323251424024,0.3411203882484017,-0.3713999718349632,111,0.5675675675675675
P5.1,baseline,eth,3stage_full,xgboost,stateful,-0.0224850026141986,-0.3705672433592446,-0.6114258969947206,80,0.5375
P5.1,baseline,eth,3stage_full,xgboost,defensive,0.0709968768553322,-0.1815062664190722,-0.6041060079926664,121,0.5867768595041323
